Hand,Equity2P,Equity3P
RiverID,ERROR,ERROR
2c 2d 2h 3h 3s 8s Js,0.882000,0.778333
2c 2d 2h 3h 3s 8s Qs,0.884500,0.792333
2c 2d 2h 3h 3s 8s Ks,0.871500,0.816667
2c 2d 2h 3h 3s 8s As,0.883000,0.809000
2c 2d 2h 3h 3s 9s 10s,0.887500,0.801000
2c 2d 2h 3h 3s 9s Js,0.877500,0.798000
2c 2d 2h 3h 3s 9s Qs,0.872000,0.814333
2c 2d 2h 3h 3s 9s Ks,0.886500,0.802667
2c 2d 2h 3h 3s 9s As,0.863000,0.796333
2c 2d 2h 3h 3s 10s Js,0.881000,0.787000
2c 2d 2h 3h 3s 10s Qs,0.865000,0.795333
2c 2d 2h 3h 3s 10s Ks,0.879500,0.814333
2c 2d 2h 3h 3s 10s As,0.863500,0.788667
2c 2d 2h 3h 3s Js Qs,0.880500,0.798000
2c 2d 2h 3h 3s Js Ks,0.867500,0.795000
2c 2d 2h 3h 3s Js As,0.884000,0.787667
2c 2d 2h 3h 3s Qs Ks,0.863500,0.797000
2c 2d 2h 3h 3s Qs As,0.906500,0.810333
2c 2d 2h 3h 3s Ks As,0.877500,0.795000
2c 2d 2h 3h 4h 4s 5s,0.908500,0.829667
2c 2d 2h 3h 4h 4s 6s,0.897500,0.800000
2c 2d 2h 3h 4h 4s 7s,0.891500,0.814000
2c 2d 2h 3h 4h 4s 8s,0.905000,0.819000
2c 2d 2h 3h 4h 4s 9s,0.898000,0.836667
2c 2d 2h 3h 4h 4s 10s,0.898000,0.826333
2c 2d 2h 3h 4h 4s Js,0.905000,0.837333
2c 2d 2h 3h 4h 4s Qs,0.893000,0.826333
2c 2d 2h 3h 4h 4s Ks,0.907500,0.855667
2c 2d 2h 3h 4h 4s As,0.889000,0.839667
2c 2d 2h 3h 4h 5h 5s,0.896000,0.836333
2c 2d 2h 3h 4h 5h 6h,0.970500,0.972333
2c 2d 2h 3h 4h 5h 6s,0.701000,0.595667
2c 2d 2h 3h 4h 5s 6s,0.745500,0.628000
2c 2d 2h 3h 4s 5s 6s,0.766000,0.639000
2c 2d 2h 3s 4s 5s 6s,0.735000,0.583333
2c 2d 2h 3h 4h 5h 7h,0.699000,0.512333
2c 2d 2h 3h 4h 5h 7s,0.527500,0.417667
2c 2d 2h 3h 4h 5s 7s,0.575500,0.438333
2c 2d 2h 3h 4s 5s 7s,0.583500,0.475333
2c 2d 2h 3s 4s 5s 7s,0.563500,0.439333
2c 2d 2h 3h 4h 5h 8h,0.689000,0.513667
2c 2d 2h 3h 4h 5h 8s,0.550000,0.411000
2c 2d 2h 3h 4h 5s 8s,0.555500,0.450000
2c 2d 2h 3h 4s 5s 8s,0.584500,0.487000
2c 2d 2h 3s 4s 5s 8s,0.518500,0.403333
2c 2d 2h 3h 4h 5h 9h,0.700500,0.526333
2c 2d 2h 3h 4h 5h 9s,0.543500,0.430333
2c 2d 2h 3h 4h 5s 9s,0.594500,0.489333
2c 2d 2h 3h 4s 5s 9s,0.582500,0.470000
2c 2d 2h 3s 4s 5s 9s,0.543000,0.437333
2c 2d 2h 3h 4h 5h 10h,0.713000,0.526000
2c 2d 2h 3h 4h 5h 10s,0.578500,0.449667
2c 2d 2h 3h 4h 5s 10s,0.595500,0.480000
2c 2d 2h 3h 4s 5s 10s,0.557000,0.474667
2c 2d 2h 3s 4s 5s 10s,0.542500,0.436000
2c 2d 2h 3h 4h 5h Jh,0.697500,0.520667
2c 2d 2h 3h 4h 5h Js,0.544500,0.437667
2c 2d 2h 3h 4h 5s Js,0.590500,0.464667
2c 2d 2h 3h 4s 5s Js,0.571000,0.487000
2c 2d 2h 3s 4s 5s Js,0.539000,0.434333
2c 2d 2h 3h 4h 5h Qh,0.696500,0.547333
2c 2d 2h 3h 4h 5h Qs,0.569500,0.423000
2c 2d 2h 3h 4h 5s Qs,0.577500,0.493000
2c 2d 2h 3h 4s 5s Qs,0.598500,0.489000
2c 2d 2h 3s 4s 5s Qs,0.610000,0.420667
2c 2d 2h 3h 4h 5h Kh,0.720000,0.572667
2c 2d 2h 3h 4h 5h Ks,0.567500,0.445667
2c 2d 2h 3h 4h 5s Ks,0.590000,0.485000
2c 2d 2h 3h 4s 5s Ks,0.612500,0.462667
2c 2d 2h 3s 4s 5s Ks,0.546000,0.402333
2c 2d 2h 3h 4h 5h Ah,0.962000,0.978333
2c 2d 2h 3h 4h 5h As,0.662500,0.516000
2c 2d 2h 3h 4h 5s As,0.737500,0.617667
2c 2d 2h 3h 4s 5s As,0.734000,0.573000
2c 2d 2h 3s 4s 5s As,0.699000,0.557333
2c 2d 2h 3h 4h 6h 6s,0.916500,0.856000
2c 2d 2h 3h 4h 6h 7h,0.675500,0.539333
2c 2d 2h 3h 4h 6h 7s,0.592000,0.504333
2c 2d 2h 3h 4h 6s 7s,0.617500,0.554000
2c 2d 2h 3h 4s 6s 7s,0.615500,0.527667
2c 2d 2h 3s 4s 6s 7s,0.613500,0.489667
2c 2d 2h 3h 4h 6h 8h,0.719000,0.534000
2c 2d 2h 3h 4h 6h 8s,0.570500,0.510000
